"run","PlaceInLine","PanicFlag","PanicPanic","LiquidityPanic","PartialShock","PurePanic","NeighborPanicCount","OthersConsumption","tick"
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,28.0
3,0,"false","false","false","false","false",0,1.0E-4,38.0
3,0,"false","false","false","false","false",0,1.0E-4,38.0
3,0,"false","false","false","false","false",0,1.0E-4,48.0
3,0,"false","false","false","false","false",0,1.0E-4,48.0
5,19,"true","false","true","true","true",2,9514701.40899645,8.0
5,47,"true","false","true","true","true",2,1.0092517121020256E7,8.0
5,40,"false","false","false","false","false",3,1.027167723112318E7,8.0
5,60,"true","true","true","true","true",6,1.1211931171137303E7,8.0
