run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Seen Panic Proportion,Bank Total Assets After Initial Withdrawals,Bank Net Worth
19,0,0,0,4861306.783,0,0,0.5,0,0,1.15E+07,1.32E+07,5722329.135,5750001.438,9,4277670.865,0.5,100,1.32E+07,0,0,1.15E+07,-1775376.194
19,0,0,0,3998844.283,0,0,0.47,0,0,1.19E+07,1.37E+07,6210687.034,5722329.135,21,3813021.928,0.42,100,1.37E+07,0,0,1.19E+07,-1765087.972
19,0,0,0,3534096.12,0,0,0.484210526,0,0,1.31E+07,1.50E+07,6885946.1,6210687.034,33,3757494.751,0.357894737,95,1.50E+07,0,0,1.31E+07,-1919191.902
19,0,0,0,4251404.937,0,0,0.590361446,0,0,1.39E+07,1.59E+07,6989073.768,6885946.1,45,4235853.513,0.506024096,83,1.59E+07,0,0,1.39E+07,-2063614.61
19,0,0,0,2567334.324,0,0,0.407894737,0,0,1.68E+07,1.88E+07,9803093.945,6989073.768,57,2551499.447,0.342105263,76,1.88E+07,0,0,1.68E+07,-1984581.977
19,0,0,0,3719247.491,0,0,0.591549296,0,0,1.87E+07,2.14E+07,8876470.568,9803093.945,69,3480900.057,0.549295775,71,2.14E+07,0,0,1.87E+07,-2672458.923
19,0,0,0,3156983.403,0,0,0.573529412,0,0,2.33E+07,2.52E+07,1.44E+07,8876470.568,81,3311070.991,0.455882353,68,2.52E+07,0,0,2.33E+07,-1925888.861
19,0,0,0,2421981.024,0,0,0.45,0,0,2.80E+07,3.11E+07,1.35E+07,1.44E+07,93,2194212.273,0.433333333,60,3.11E+07,0,0,2.80E+07,-3093058.317
19,0,0,0,2856067.73,0,0,0.559322034,0,0,3.67E+07,3.83E+07,2.32E+07,1.35E+07,105,2868954.942,0.508474576,59,3.83E+07,0,0,3.67E+07,-1630956.117
19,0,0,0,2214232.518,0,0,0.464285714,0,0,4.53E+07,4.84E+07,2.22E+07,2.32E+07,117,2085600.675,0.446428571,56,4.84E+07,0,0,4.53E+07,-3109268.018
